date,sentiment_score,Confirmed,Active,Death,Recovered
01-02-2020,0.010094444,0,0,0,0
02-02-2020,-0.214867857,1,1,0,0
03-02-2020,-0.087545946,1,1,0,0
04-02-2020,-0.039085294,0,0,0,0
05-02-2020,-0.019008696,0,0,0,0
06-02-2020,-0.133064,0,0,0,0
07-02-2020,-0.151223684,0,0,0,0
08-02-2020,-0.03227,0,0,0,0
09-02-2020,0.044267742,0,0,0,0
10-02-2020,-0.09085,0,0,0,0
11-02-2020,-0.186573077,0,0,0,0
12-02-2020,-0.157083871,0,0,0,0
13-02-2020,0.001344,0,-1,0,1
14-02-2020,-0.044821429,0,0,0,0
15-02-2020,-0.116588,0,0,0,0
16-02-2020,-0.087621622,0,-1,0,1
17-02-2020,-0.281331579,0,0,0,0
18-02-2020,-0.0303,0,0,0,0
19-02-2020,-0.017271429,0,0,0,0
20-02-2020,-0.090947619,0,-1,0,1
21-02-2020,-0.066951724,0,0,0,0
22-02-2020,-0.291545238,0,0,0,0
23-02-2020,-0.225620482,0,0,0,0
24-02-2020,-0.048201205,0,0,0,0
25-02-2020,-0.047571429,0,0,0,0
26-02-2020,-0.14741,0,0,0,0
27-02-2020,-0.149086207,0,0,0,0
28-02-2020,-0.078561364,0,0,0,0
29-02-2020,-0.1351,0,0,0,0
01-03-2020,0.011326667,0,0,0,0
02-03-2020,-0.007560976,2,2,0,0
03-03-2020,-0.066526667,1,1,0,0
04-03-2020,-0.229013333,22,22,0,0
05-03-2020,-0.135567742,2,2,0,0
06-03-2020,0.0818375,1,1,0,0
07-03-2020,-0.094334783,3,3,0,0
08-03-2020,-0.033510448,5,5,0,0
09-03-2020,-0.11616242,9,9,0,0
10-03-2020,-0.125277014,15,14,0,1
11-03-2020,-0.041170397,8,8,0,0
12-03-2020,-0.002701111,10,9,1,0
13-03-2020,0.034412132,10,4,0,6
14-03-2020,0.011857738,11,10,1,0
15-03-2020,0.022181102,10,7,0,3
16-03-2020,0.010026324,14,13,0,1
17-03-2020,0.001874451,20,18,1,1
18-03-2020,0.048538375,25,25,0,0
19-03-2020,0.068165206,27,21,1,5
20-03-2020,0.041485795,58,55,0,3
21-03-2020,0.026888008,78,78,0,0
22-03-2020,0.062741092,69,66,3,0
23-03-2020,0.085649552,94,90,2,2
24-03-2020,0.154557907,74,58,1,15
25-03-2020,0.146291414,86,82,1,3
26-03-2020,0.123440002,73,61,5,7
27-03-2020,0.129895334,153,125,3,25
28-03-2020,0.111389275,136,121,5,10
29-03-2020,0.096970529,120,100,3,17
30-03-2020,0.097225836,187,138,14,35
31-03-2020,0.098983309,309,290,6,13
01-04-2020,0.102819694,424,399,6,19
02-04-2020,0.136606865,486,448,16,22
03-04-2020,0.138195276,560,507,14,39
04-04-2020,0.147470395,579,510,13,56
05-04-2020,0.161763104,609,544,22,43
06-04-2020,0.157439685,484,403,16,65
07-04-2020,0.139534852,573,471,27,75
08-04-2020,0.146684139,565,449,20,96
09-04-2020,0.144225197,813,697,46,70
10-04-2020,0.132260093,871,698,22,151
11-04-2020,0.137605102,854,627,41,186
12-04-2020,0.120467993,758,602,42,114
13-04-2020,0.14292359,1243,1104,27,112
14-04-2020,0.13762811,1031,827,37,167
15-04-2020,0.124313461,886,715,27,144
16-04-2020,0.137867014,1061,777,26,258
17-04-2020,0.132226532,922,611,38,273
18-04-2020,0.146712988,1371,910,35,426
19-04-2020,0.127952157,1580,1154,38,388
20-04-2020,0.120979038,1239,787,33,419
21-04-2020,0.109927758,1537,781,53,703
22-04-2020,0.15217558,1292,862,36,394
23-04-2020,0.149263759,1667,985,40,642
24-04-2020,0.143464778,1408,865,59,484
25-04-2020,0.141134888,1835,1349,44,442
26-04-2020,0.155459943,1607,966,56,585
27-04-2020,0.141060074,1568,930,58,580
28-04-2020,0.139584842,1902,1197,69,636
29-04-2020,0.127247264,1705,944,71,690
30-04-2020,0.124850721,1801,1096,75,630
