date,neutral_count,sadness_count,anger_count,joy_count,fear_count,total_count,neutral_count_pct,sadness_count_pct,anger_count_pct,joy_count_pct,fear_count_pct
2020-02-01,257,11,3,2,27,300,85.66666666666667,3.6666666666666665,1.0,0.6666666666666667,9.0
2020-02-02,328,16,4,18,22,388,84.5360824742268,4.123711340206185,1.0309278350515463,4.639175257731959,5.670103092783505
2020-02-03,187,4,6,3,13,213,87.79342723004694,1.8779342723004695,2.8169014084507045,1.4084507042253522,6.103286384976526
2020-02-04,304,6,0,1,17,328,92.6829268292683,1.8292682926829267,0.0,0.3048780487804878,5.182926829268292
2020-02-05,270,1,2,0,6,279,96.7741935483871,0.35842293906810035,0.7168458781362007,0.0,2.1505376344086025
2020-02-06,228,4,2,0,9,243,93.82716049382715,1.646090534979424,0.823045267489712,0.0,3.7037037037037033
2020-02-07,267,7,2,0,16,292,91.43835616438356,2.3972602739726026,0.684931506849315,0.0,5.47945205479452
2020-02-08,227,5,0,2,7,241,94.1908713692946,2.0746887966804977,0.0,0.8298755186721992,2.904564315352697
2020-02-09,204,6,6,3,8,227,89.86784140969164,2.643171806167401,2.643171806167401,1.3215859030837005,3.524229074889868
2020-02-10,248,10,3,0,16,277,89.53068592057761,3.6101083032490973,1.083032490974729,0.0,5.776173285198556
2020-02-11,141,5,4,2,13,165,85.45454545454545,3.0303030303030303,2.4242424242424243,1.2121212121212122,7.878787878787878
2020-02-12,194,7,1,1,6,209,92.82296650717703,3.349282296650718,0.4784688995215311,0.4784688995215311,2.8708133971291865
2020-02-13,318,5,1,2,10,336,94.64285714285714,1.488095238095238,0.2976190476190476,0.5952380952380952,2.976190476190476
2020-02-14,190,5,0,3,7,205,92.6829268292683,2.4390243902439024,0.0,1.4634146341463417,3.414634146341464
2020-02-15,212,4,0,1,11,228,92.98245614035088,1.7543859649122806,0.0,0.43859649122807015,4.824561403508771
2020-02-16,256,13,4,2,11,286,89.5104895104895,4.545454545454546,1.3986013986013985,0.6993006993006993,3.8461538461538463
2020-02-17,289,6,4,0,11,310,93.2258064516129,1.935483870967742,1.2903225806451613,0.0,3.5483870967741935
2020-02-18,217,3,2,2,4,228,95.17543859649122,1.3157894736842104,0.8771929824561403,0.8771929824561403,1.7543859649122806
2020-02-19,183,3,0,0,6,192,95.3125,1.5625,0.0,0.0,3.125
2020-02-20,187,0,0,1,9,197,94.9238578680203,0.0,0.0,0.5076142131979695,4.568527918781726
2020-02-21,167,6,1,1,11,186,89.78494623655914,3.225806451612903,0.5376344086021506,0.5376344086021506,5.913978494623656
2020-02-22,119,2,2,0,7,130,91.53846153846153,1.5384615384615385,1.5384615384615385,0.0,5.384615384615385
2020-02-23,227,3,2,0,9,241,94.1908713692946,1.2448132780082988,0.8298755186721992,0.0,3.7344398340248963
2020-02-24,189,7,2,0,13,211,89.57345971563981,3.3175355450236967,0.9478672985781991,0.0,6.161137440758294
2020-02-25,156,3,2,0,16,177,88.13559322033898,1.694915254237288,1.1299435028248588,0.0,9.03954802259887
2020-02-26,163,3,1,2,8,177,92.09039548022598,1.694915254237288,0.5649717514124294,1.1299435028248588,4.519774011299435
2020-02-27,232,19,1,3,19,274,84.67153284671532,6.934306569343065,0.36496350364963503,1.094890510948905,6.934306569343065
2020-02-28,218,7,9,1,10,245,88.9795918367347,2.857142857142857,3.6734693877551026,0.40816326530612246,4.081632653061225
2020-02-29,175,8,3,3,13,202,86.63366336633663,3.9603960396039604,1.4851485148514851,1.4851485148514851,6.435643564356436
2020-03-01,163,8,6,0,17,194,84.02061855670104,4.123711340206185,3.0927835051546393,0.0,8.762886597938143
2020-03-02,203,7,6,1,16,233,87.1244635193133,3.004291845493562,2.575107296137339,0.4291845493562232,6.866952789699571
2020-03-03,357,10,10,1,33,411,86.86131386861314,2.4330900243309004,2.4330900243309004,0.24330900243309003,8.02919708029197
2020-03-04,489,19,7,3,24,542,90.22140221402213,3.505535055350553,1.2915129151291513,0.5535055350553505,4.428044280442804
