date,neutral_count,positive_count,negative_count,total,neutral_count_pct,positive_count_pct,negative_count_pct
2020-02-01,8,12,16,36,22.22222222222222,33.33333333333333,44.44444444444444
2020-02-02,19,17,28,64,29.6875,26.5625,43.75
2020-02-03,15,33,56,104,14.423076923076922,31.73076923076923,53.84615384615385
2020-02-04,14,24,39,77,18.181818181818183,31.16883116883117,50.649350649350644
2020-02-05,19,14,33,66,28.78787878787879,21.21212121212121,50.0
2020-02-06,15,34,34,83,18.072289156626507,40.963855421686745,40.963855421686745
2020-02-07,27,16,38,81,33.33333333333333,19.753086419753085,46.913580246913575
2020-02-08,8,7,29,44,18.181818181818183,15.909090909090908,65.9090909090909
2020-02-09,10,17,35,62,16.129032258064516,27.419354838709676,56.451612903225815
2020-02-10,20,15,44,79,25.31645569620253,18.9873417721519,55.69620253164557
2020-02-11,10,27,47,84,11.904761904761903,32.142857142857146,55.952380952380956
2020-02-12,14,12,48,74,18.91891891891892,16.216216216216218,64.86486486486487
2020-02-13,24,27,44,95,25.263157894736842,28.421052631578945,46.31578947368421
2020-02-14,23,23,41,87,26.436781609195403,26.436781609195403,47.12643678160919
2020-02-15,8,10,25,43,18.6046511627907,23.25581395348837,58.139534883720934
2020-02-16,5,11,30,46,10.869565217391305,23.91304347826087,65.21739130434783
2020-02-17,25,28,53,106,23.58490566037736,26.41509433962264,50.0
2020-02-18,20,30,43,93,21.50537634408602,32.25806451612903,46.236559139784944
2020-02-19,21,33,32,86,24.418604651162788,38.372093023255815,37.2093023255814
2020-02-20,10,23,65,98,10.204081632653061,23.46938775510204,66.3265306122449
2020-02-21,20,12,19,51,39.21568627450981,23.52941176470588,37.254901960784316
2020-02-22,13,12,22,47,27.659574468085108,25.53191489361702,46.808510638297875
2020-02-23,12,11,33,56,21.428571428571427,19.642857142857142,58.92857142857143
2020-02-24,34,26,76,136,25.0,19.11764705882353,55.88235294117647
2020-02-25,22,23,50,95,23.157894736842106,24.210526315789473,52.63157894736842
2020-02-26,40,34,64,138,28.985507246376812,24.637681159420293,46.3768115942029
2020-02-27,19,35,83,137,13.86861313868613,25.547445255474454,60.58394160583942
2020-02-28,37,50,166,253,14.624505928853754,19.76284584980237,65.61264822134387
2020-02-29,18,43,102,163,11.042944785276074,26.380368098159508,62.57668711656442
2020-03-01,13,25,69,107,12.149532710280374,23.364485981308412,64.48598130841121
2020-03-02,38,49,83,170,22.35294117647059,28.823529411764703,48.8235294117647
2020-03-03,35,101,127,263,13.307984790874524,38.40304182509506,48.28897338403042
2020-03-04,31,71,95,197,15.736040609137056,36.04060913705584,48.223350253807105
2020-03-05,50,68,129,247,20.242914979757085,27.530364372469634,52.226720647773284
2020-03-06,54,102,160,316,17.088607594936708,32.278481012658226,50.63291139240506
2020-03-07,22,38,72,132,16.666666666666664,28.78787878787879,54.54545454545454
2020-03-08,16,26,57,99,16.161616161616163,26.262626262626267,57.57575757575758
2020-03-09,35,75,173,283,12.36749116607774,26.501766784452297,61.130742049469966
2020-03-10,37,68,124,229,16.157205240174672,29.694323144104807,54.14847161572053
2020-03-11,42,90,151,283,14.840989399293287,31.802120141342755,53.35689045936396
2020-03-12,57,122,313,492,11.585365853658537,24.796747967479675,63.617886178861795
2020-03-13,96,157,253,506,18.972332015810274,31.027667984189723,50.0
2020-03-14,29,77,109,215,13.488372093023257,35.81395348837209,50.697674418604656
2020-03-15,29,93,127,249,11.646586345381527,37.34939759036144,51.00401606425703
2020-03-16,123,159,218,500,24.6,31.8,43.6
2020-03-17,99,195,305,599,16.52754590984975,32.5542570951586,50.918196994991646
2020-03-18,33,116,176,325,10.153846153846153,35.69230769230769,54.15384615384615
2020-03-19,38,112,127,277,13.718411552346572,40.43321299638989,45.84837545126354
2020-03-20,44,119,142,305,14.426229508196723,39.01639344262295,46.557377049180324
2020-03-21,21,96,137,254,8.267716535433072,37.79527559055118,53.937007874015755
2020-03-22,45,131,168,344,13.08139534883721,38.08139534883721,48.837209302325576
2020-03-23,70,188,326,584,11.986301369863012,32.19178082191781,55.821917808219176
2020-03-24,131,305,337,773,16.946959896507117,39.45666235446313,43.59637774902975
2020-03-25,57,186,261,504,11.30952380952381,36.904761904761905,51.78571428571429
2020-03-26,136,305,456,897,15.16164994425864,34.002229654403564,50.836120401337794
2020-03-27,136,425,422,983,13.835198372329604,43.23499491353001,42.92980671414038
2020-03-28,80,274,323,677,11.816838995568684,40.472673559822745,47.71048744460857
2020-03-29,79,282,441,802,9.850374064837904,35.16209476309227,54.98753117206982
2020-03-30,110,270,452,832,13.221153846153847,32.45192307692308,54.32692307692307
2020-03-31,132,227,423,782,16.879795396419436,29.028132992327365,54.0920716112532
2020-04-01,93,196,314,603,15.422885572139302,32.50414593698176,52.072968490878935
2020-04-02,84,192,309,585,14.358974358974358,32.82051282051282,52.820512820512825
2020-04-03,104,304,338,746,13.941018766756033,40.75067024128686,45.30831099195711
2020-04-04,88,237,262,587,14.991482112436117,40.3747870528109,44.63373083475298
2020-04-05,74,217,225,516,14.34108527131783,42.054263565891475,43.604651162790695
2020-04-06,98,256,317,671,14.605067064083457,38.152011922503725,47.24292101341281
2020-04-07,113,328,357,798,14.160401002506266,41.10275689223057,44.73684210526316
2020-04-08,139,298,455,892,15.582959641255606,33.408071748878925,51.00896860986547
2020-04-09,160,381,435,976,16.39344262295082,39.03688524590164,44.56967213114754
2020-04-10,123,336,397,856,14.369158878504674,39.25233644859813,46.3785046728972
2020-04-11,151,330,378,859,17.57857974388824,38.41676367869616,44.0046565774156
2020-04-12,139,302,406,847,16.41086186540732,35.655253837072024,47.93388429752066
2020-04-13,201,511,519,1231,16.328188464662876,41.51096669374492,42.1608448415922
2020-04-14,278,591,615,1484,18.733153638814017,39.82479784366576,41.44204851752021
2020-04-15,231,404,466,1101,20.98092643051771,36.69391462306994,42.32515894641235
2020-04-16,237,559,513,1309,18.105423987776927,42.70435446906035,39.19022154316272
2020-04-17,330,529,508,1367,24.140453547915143,38.697878566203364,37.16166788588149
2020-04-18,147,394,355,896,16.40625,43.973214285714285,39.620535714285715
2020-04-19,138,354,339,831,16.60649819494585,42.59927797833935,40.794223826714806
2020-04-20,135,316,410,861,15.6794425087108,36.70150987224158,47.61904761904761
2020-04-21,147,421,473,1041,14.121037463976945,40.4418828049952,45.43707973102786
2020-04-22,185,410,388,983,18.819938962360123,41.70905391658189,39.47100712105799
2020-04-23,144,367,434,945,15.238095238095239,38.835978835978835,45.925925925925924
2020-04-24,141,326,406,873,16.151202749140893,37.34249713631157,46.506300114547535
2020-04-25,125,421,411,957,13.061650992685475,43.99164054336468,42.94670846394985
2020-04-26,141,469,406,1016,13.877952755905513,46.161417322834644,39.960629921259844
2020-04-27,231,581,477,1289,17.92086889061288,45.07370054305663,37.00543056633049
2020-04-28,162,494,457,1113,14.555256064690028,44.38454627133873,41.06019766397125
2020-04-29,166,439,509,1114,14.90125673249551,39.40754039497307,45.69120287253142
2020-04-30,246,699,627,1572,15.648854961832063,44.465648854961835,39.88549618320611
