date,neutral_count,positive_count,negative_count,total,neutral_count_pct,positive_count_pct,negative_count_pct
2020-02-01,74,107,108,289,25.60553633217993,37.0242214532872,37.37024221453287
2020-02-02,97,155,150,402,24.129353233830848,38.55721393034826,37.3134328358209
2020-02-03,176,206,223,605,29.09090909090909,34.049586776859506,36.85950413223141
2020-02-04,139,151,197,487,28.54209445585216,31.006160164271044,40.4517453798768
2020-02-05,72,87,139,298,24.161073825503358,29.194630872483224,46.644295302013425
2020-02-06,60,78,143,281,21.352313167259787,27.75800711743772,50.88967971530249
2020-02-07,48,68,147,263,18.250950570342205,25.85551330798479,55.893536121673
2020-02-08,39,41,117,197,19.796954314720814,20.812182741116754,59.390862944162436
2020-02-09,45,57,127,229,19.65065502183406,24.890829694323145,55.45851528384279
2020-02-10,31,61,78,170,18.235294117647058,35.88235294117647,45.88235294117647
2020-02-11,33,46,78,157,21.019108280254777,29.29936305732484,49.681528662420384
2020-02-12,32,45,83,160,20.0,28.125,51.87500000000001
2020-02-13,57,61,80,198,28.78787878787879,30.808080808080806,40.4040404040404
2020-02-14,26,39,60,125,20.8,31.2,48.0
2020-02-15,48,31,78,157,30.573248407643312,19.745222929936308,49.681528662420384
2020-02-16,36,28,73,137,26.277372262773724,20.437956204379564,53.284671532846716
2020-02-17,33,47,51,131,25.190839694656486,35.87786259541985,38.93129770992366
2020-02-18,70,42,142,254,27.559055118110237,16.535433070866144,55.90551181102362
2020-02-19,28,35,80,143,19.58041958041958,24.475524475524477,55.94405594405595
2020-02-20,59,43,75,177,33.33333333333333,24.293785310734464,42.3728813559322
2020-02-21,31,34,75,140,22.142857142857142,24.285714285714285,53.57142857142857
2020-02-22,26,32,53,111,23.423423423423422,28.82882882882883,47.74774774774775
2020-02-23,36,26,61,123,29.268292682926827,21.138211382113823,49.59349593495935
2020-02-24,23,36,61,120,19.166666666666668,30.0,50.83333333333333
2020-02-25,28,35,39,102,27.450980392156865,34.31372549019608,38.23529411764706
2020-02-26,31,44,68,143,21.678321678321677,30.76923076923077,47.55244755244755
2020-02-27,46,51,71,168,27.380952380952383,30.357142857142854,42.26190476190476
2020-02-28,35,80,67,182,19.230769230769234,43.956043956043956,36.81318681318682
2020-02-29,37,55,68,160,23.125,34.375,42.5
2020-03-01,33,53,80,166,19.879518072289155,31.92771084337349,48.19277108433735
2020-03-02,63,107,125,295,21.35593220338983,36.271186440677965,42.3728813559322
2020-03-03,75,185,221,481,15.592515592515593,38.46153846153847,45.94594594594595
2020-03-04,98,222,259,579,16.92573402417962,38.34196891191709,44.73229706390328
2020-03-05,124,179,267,570,21.75438596491228,31.403508771929822,46.8421052631579
2020-03-06,88,147,242,477,18.448637316561843,30.81761006289308,50.73375262054507
2020-03-07,67,122,154,343,19.533527696793,35.56851311953353,44.89795918367347
2020-03-08,70,133,138,341,20.527859237536656,39.002932551319645,40.469208211143695
2020-03-09,125,170,275,570,21.929824561403507,29.82456140350877,48.24561403508772
2020-03-10,111,181,163,455,24.395604395604394,39.78021978021978,35.824175824175825
2020-03-11,86,230,230,546,15.75091575091575,42.124542124542124,42.124542124542124
2020-03-12,104,229,275,608,17.105263157894736,37.66447368421053,45.23026315789473
2020-03-13,109,307,341,757,14.398943196829592,40.554821664464995,45.04623513870541
2020-03-14,120,323,445,888,13.513513513513514,36.373873873873876,50.112612612612615
2020-03-15,137,409,368,914,14.989059080962802,44.74835886214442,40.26258205689278
2020-03-16,225,522,568,1315,17.110266159695815,39.69581749049429,43.19391634980988
2020-03-17,287,583,572,1442,19.902912621359224,40.429958391123435,39.66712898751734
2020-03-18,122,301,312,735,16.598639455782312,40.95238095238095,42.44897959183673
2020-03-19,149,288,259,696,21.408045977011493,41.37931034482759,37.212643678160916
2020-03-20,168,457,436,1061,15.83411875589067,43.07257304429783,41.0933081998115
2020-03-21,163,366,430,959,16.99687174139729,38.16475495307612,44.83837330552659
2020-03-22,222,770,586,1578,14.068441064638785,48.79594423320659,37.135614702154626
2020-03-23,469,1275,927,2671,17.558966679146387,47.73493073755148,34.70610258330213
2020-03-24,445,1100,831,2376,18.72895622895623,46.2962962962963,34.974747474747474
2020-03-25,285,667,557,1509,18.886679920477135,44.20145791915176,36.91186216037111
2020-03-26,518,1312,1093,2923,17.72151898734177,44.88539172083476,37.393089291823465
2020-03-27,474,1111,849,2434,19.474116680361544,45.64502875924404,34.88085456039441
