date,neutral_count,positive_count,negative_count,total,neutral_count_pct,positive_count_pct,negative_count_pct
2020-02-01,10,33,25,68,14.705882352941178,48.529411764705884,36.76470588235294
2020-02-02,27,55,66,148,18.243243243243242,37.16216216216216,44.5945945945946
2020-02-03,8,41,36,85,9.411764705882353,48.23529411764706,42.35294117647059
2020-02-04,12,20,28,60,20.0,33.33333333333333,46.666666666666664
2020-02-05,11,22,20,53,20.754716981132077,41.509433962264154,37.735849056603776
2020-02-06,10,18,21,49,20.408163265306122,36.734693877551024,42.857142857142854
2020-02-07,12,22,38,72,16.666666666666664,30.555555555555557,52.77777777777778
2020-02-08,10,25,26,61,16.39344262295082,40.98360655737705,42.62295081967213
2020-02-09,14,31,20,65,21.53846153846154,47.69230769230769,30.76923076923077
2020-02-10,17,28,27,72,23.61111111111111,38.88888888888889,37.5
2020-02-11,12,24,24,60,20.0,40.0,40.0
2020-02-12,12,32,32,76,15.789473684210526,42.10526315789473,42.10526315789473
2020-02-13,1,19,13,33,3.0303030303030303,57.57575757575758,39.39393939393939
2020-02-14,8,32,79,119,6.722689075630252,26.89075630252101,66.38655462184873
2020-02-15,8,14,32,54,14.814814814814813,25.925925925925924,59.25925925925925
2020-02-16,2,15,16,33,6.0606060606060606,45.45454545454545,48.484848484848484
2020-02-17,1,18,13,32,3.125,56.25,40.625
2020-02-18,4,28,43,75,5.333333333333334,37.333333333333336,57.333333333333336
2020-02-19,5,17,22,44,11.363636363636363,38.63636363636363,50.0
2020-02-20,8,21,18,47,17.02127659574468,44.680851063829785,38.297872340425535
2020-02-21,3,13,14,30,10.0,43.333333333333336,46.666666666666664
2020-02-22,6,9,15,30,20.0,30.0,50.0
2020-02-23,8,20,15,43,18.6046511627907,46.51162790697674,34.883720930232556
2020-02-24,5,25,14,44,11.363636363636363,56.81818181818182,31.818181818181817
2020-02-25,11,29,21,61,18.0327868852459,47.540983606557376,34.42622950819672
2020-02-26,6,41,27,74,8.108108108108109,55.4054054054054,36.486486486486484
2020-02-27,23,45,41,109,21.100917431192663,41.284403669724774,37.61467889908257
2020-02-28,21,58,45,124,16.93548387096774,46.774193548387096,36.29032258064516
2020-02-29,13,40,35,88,14.772727272727273,45.45454545454545,39.77272727272727
2020-03-01,10,36,42,88,11.363636363636363,40.909090909090914,47.72727272727273
2020-03-02,7,42,47,96,7.291666666666667,43.75,48.95833333333333
2020-03-03,14,51,58,123,11.38211382113821,41.46341463414634,47.15447154471545
2020-03-04,24,92,89,205,11.707317073170733,44.87804878048781,43.41463414634146
2020-03-05,35,117,90,242,14.46280991735537,48.34710743801653,37.1900826446281
2020-03-06,36,89,93,218,16.51376146788991,40.825688073394495,42.6605504587156
2020-03-07,27,58,59,144,18.75,40.27777777777778,40.97222222222222
2020-03-08,12,59,53,124,9.67741935483871,47.58064516129033,42.74193548387097
2020-03-09,25,92,79,196,12.755102040816327,46.93877551020408,40.30612244897959
2020-03-10,21,95,66,182,11.538461538461538,52.197802197802204,36.26373626373626
2020-03-11,29,132,103,264,10.984848484848484,50.0,39.015151515151516
2020-03-12,30,172,104,306,9.803921568627452,56.209150326797385,33.98692810457516
2020-03-13,45,214,138,397,11.335012594458437,53.904282115869016,34.76070528967254
2020-03-14,40,230,157,427,9.367681498829041,53.86416861826698,36.768149882903984
2020-03-15,55,373,152,580,9.482758620689655,64.3103448275862,26.20689655172414
2020-03-16,64,373,205,642,9.968847352024921,58.09968847352025,31.931464174454828
2020-03-17,90,487,308,885,10.16949152542373,55.028248587570616,34.80225988700565
2020-03-18,56,275,173,504,11.11111111111111,54.563492063492056,34.32539682539682
2020-03-19,58,293,152,503,11.530815109343937,58.25049701789264,30.218687872763418
2020-03-20,75,390,269,734,10.217983651226158,53.13351498637602,36.64850136239782
2020-03-21,96,363,257,716,13.40782122905028,50.69832402234636,35.89385474860335
2020-03-22,149,1180,443,1772,8.408577878103838,66.59142212189616,25.0
2020-03-23,283,1102,609,1994,14.192577733199599,55.26579739217653,30.541624874623874
2020-03-24,302,1168,662,2132,14.165103189493433,54.78424015009381,31.050656660412756
2020-03-25,172,767,449,1388,12.39193083573487,55.25936599423631,32.34870317002882
2020-03-26,412,1680,880,2972,13.862718707940779,56.527590847913864,29.609690444145357
2020-03-27,410,1285,817,2512,16.32165605095541,51.154458598726116,32.52388535031847
2020-03-28,740,2222,2193,5155,14.354995150339475,43.10378273520853,42.54122211445199
2020-03-29,788,2163,1844,4795,16.43378519290928,45.10948905109489,38.456725755995826
2020-03-30,808,1955,1831,4594,17.58815846756639,42.55550718328254,39.85633434915107
2020-03-31,554,1554,1260,3368,16.44893111638955,46.14014251781472,37.410926365795724
2020-04-01,410,1396,1030,2836,14.456981664315938,49.22425952045134,36.31875881523272
2020-04-02,461,1572,1669,3702,12.452728254997298,42.463533225283626,45.08373851971907
2020-04-03,370,1527,1206,3103,11.923944569771189,49.210441508217855,38.86561392201096
2020-04-04,286,1106,767,2159,13.246873552570634,51.22742010189902,35.52570634553034
2020-04-05,258,1217,889,2364,10.913705583756345,51.48054145516075,37.60575296108291
2020-04-06,354,1221,853,2428,14.579901153212521,50.28830313014827,35.13179571663921
2020-04-07,422,2830,1088,4340,9.723502304147466,65.2073732718894,25.069124423963135
2020-04-08,358,1818,1163,3339,10.721772985923929,54.44743935309974,34.83078766097634
2020-04-09,427,1762,1021,3210,13.302180685358255,54.890965732087224,31.806853582554517
2020-04-10,427,1492,1027,2946,14.494229463679565,50.6449422946368,34.86082824168364
2020-04-11,305,1299,928,2532,12.045813586097946,51.30331753554502,36.65086887835703
2020-04-12,286,1076,778,2140,13.36448598130841,50.280373831775705,36.35514018691588
2020-04-13,407,1489,940,2836,14.351198871650212,52.50352609308886,33.14527503526093
2020-04-14,623,2479,1692,4794,12.995410930329578,51.71047142261159,35.294117647058826
2020-04-15,474,1626,1341,3441,13.775065387968613,47.25370531822144,38.97122929380994
2020-04-16,549,1946,1627,4122,13.318777292576419,47.21009218825813,39.471130519165456
2020-04-17,429,1533,999,2961,14.488348530901723,51.77304964539007,33.73860182370821
2020-04-18,389,1520,1084,2993,12.996992983628466,50.785165385900434,36.2178416304711
2020-04-19,443,1638,1126,3207,13.813532896788274,51.075771749298404,35.110695353913314
2020-04-20,385,1283,880,2548,15.10989010989011,50.35321821036107,34.53689167974882
2020-04-21,535,1855,1370,3760,14.22872340425532,49.33510638297872,36.43617021276596
2020-04-22,416,1745,1497,3658,11.372334609075997,47.70366320393657,40.92400218698742
2020-04-23,421,1535,1176,3132,13.441890166028097,49.01021711366539,37.547892720306514
2020-04-24,425,1472,991,2888,14.71606648199446,50.96952908587258,34.31440443213297
2020-04-25,366,1362,904,2632,13.905775075987842,51.747720364741646,34.34650455927052
