case_date,confirmed,active,death,recovered,sentiment_date,positivity_score
30-01-2020,1,1,0,0,01-02-2020,
31-01-2020,0,0,0,0,02-02-2020,
29-04-2020,1705,944,71,690,01-05-2020,
30-04-2020,1801,1096,75,630,02-05-2020,
01-05-2020,2396,1357,77,962,03-05-2020,
02-05-2020,2564,1641,92,831,04-05-2020,
03-05-2020,2952,1901,140,911,05-05-2020,
04-05-2020,3656,2471,103,1082,06-05-2020,
05-05-2020,2971,1548,128,1295,07-05-2020,
06-05-2020,3602,2350,91,1161,08-05-2020,
07-05-2020,3344,1765,104,1475,09-05-2020,
08-05-2020,3339,2131,97,1111,10-05-2020,
09-05-2020,3175,1646,115,1414,11-05-2020,
10-05-2020,4311,2530,112,1669,12-05-2020,
11-05-2020,3592,1932,81,1579,13-05-2020,
12-05-2020,3562,1537,120,1905,14-05-2020,
13-05-2020,3726,1626,137,1963,15-05-2020,
14-05-2020,3991,2300,97,1594,16-05-2020,
15-05-2020,3808,1470,104,2234,17-05-2020,
16-05-2020,4794,662,120,4012,18-05-2020,
17-05-2020,5049,2359,152,2538,19-05-2020,
18-05-2020,4628,2015,131,2482,20-05-2020,
19-05-2020,6154,2976,146,3032,21-05-2020,
20-05-2020,5720,2473,134,3113,22-05-2020,
21-05-2020,6023,2744,148,3131,23-05-2020,
22-05-2020,6536,3114,142,3280,24-05-2020,
23-05-2020,6667,3949,142,2576,25-05-2020,
24-05-2020,7111,3670,156,3285,26-05-2020,
25-05-2020,6414,3252,150,3012,27-05-2020,
26-05-2020,5907,2149,173,3585,28-05-2020,
27-05-2020,7246,3624,188,3434,29-05-2020,
28-05-2020,7254,3907,176,3171,30-05-2020,
29-05-2020,8138,-3866,269,11735,31-05-2020,
30-05-2020,8364,3856,205,4303,01-06-2020,
31-05-2020,8789,3639,222,4928,02-06-2020,
01-06-2020,7723,3640,201,3882,03-06-2020,
02-06-2020,8812,4059,222,4531,04-06-2020,
03-06-2020,9689,5641,259,3789,05-06-2020,
04-06-2020,9847,5183,274,4390,06-06-2020,
05-06-2020,9472,4416,286,4770,07-06-2020,
06-06-2020,10408,4678,297,5433,08-06-2020,
07-06-2020,10882,5430,261,5191,09-06-2020,
08-06-2020,8536,3094,271,5171,10-06-2020,
09-06-2020,9981,4075,272,5634,11-06-2020,
10-06-2020,11156,4523,358,6275,12-06-2020,
11-06-2020,11135,4697,394,6044,13-06-2020,
12-06-2020,11306,3655,388,7263,14-06-2020,
13-06-2020,12039,3638,309,8092,15-06-2020,
14-06-2020,11405,3723,324,7358,16-06-2020,
15-06-2020,10032,-1003,396,10639,17-06-2020,
16-06-2020,11086,1856,2004,7226,18-06-2020,
17-06-2020,13108,5877,341,6890,19-06-2020,
18-06-2020,13829,2745,343,10741,20-06-2020,
19-06-2020,14740,5347,364,9029,21-06-2020,
20-06-2020,15918,1636,308,13974,22-06-2020,
21-06-2020,15151,5650,426,9075,23-06-2020,
22-06-2020,13560,2369,312,10879,24-06-2020,
23-06-2020,15656,4726,468,10462,25-06-2020,
24-06-2020,16868,3355,424,13089,26-06-2020,
25-06-2020,18205,3821,401,13983,27-06-2020,
26-06-2020,18255,7628,381,10246,28-06-2020,
27-06-2020,20142,5499,414,14229,29-06-2020,
28-06-2020,19610,7595,384,11631,30-06-2020,
29-06-2020,18339,4425,417,13497,01-07-2020,
30-06-2020,18256,5185,506,12565,02-07-2020,
