date,neutral,sadness,anger,joy,fear
01-02-2020,0,0,0,0,0
02-02-2020,0,0,0,0,0
03-02-2020,0,0,0,0,0
04-02-2020,0,100,0,0,0
05-02-2020,0,100,0,0,0
06-02-2020,0,0,0,0,0
07-02-2020,0,0,0,0,0
08-02-2020,0,0,0,0,0
09-02-2020,0,0,0,0,0
10-02-2020,0,0,0,0,0
11-02-2020,0,0,0,0,0
12-02-2020,0,0,0,0,0
13-02-2020,0,0,0,0,0
14-02-2020,100,0,0,0,0
15-02-2020,0,0,0,0,0
16-02-2020,0,0,0,0,0
17-02-2020,0,0,0,0,0
18-02-2020,100,0,0,0,0
19-02-2020,0,0,0,0,0
20-02-2020,0,0,0,0,0
21-02-2020,0,0,0,0,0
22-02-2020,0,0,0,0,0
23-02-2020,0,0,0,0,0
24-02-2020,0,0,0,0,0
25-02-2020,0,0,0,0,0
26-02-2020,0,0,0,0,0
27-02-2020,66.66666667,33.33333333,0,0,0
28-02-2020,75,25,0,0,0
29-02-2020,50,50,0,0,0
01-03-2020,0,0,0,0,0
02-03-2020,100,0,0,0,0
03-03-2020,0,0,0,0,0
04-03-2020,100,0,0,0,0
05-03-2020,0,100,0,0,0
06-03-2020,100,0,0,0,0
07-03-2020,0,0,0,0,0
08-03-2020,100,0,0,0,0
09-03-2020,0,0,0,0,0
10-03-2020,75,0,0,0,25
11-03-2020,100,0,0,0,0
12-03-2020,0,0,0,0,100
13-03-2020,62.5,25,0,0,12.5
14-03-2020,37.5,12.5,0,12.5,37.5
15-03-2020,60,40,0,0,0
16-03-2020,64.70588235,29.41176471,5.882352941,0,0
17-03-2020,71.79487179,25.64102564,2.564102564,0,0
18-03-2020,66.66666667,33.33333333,0,0,0
19-03-2020,58.33333333,16.66666667,16.66666667,8.333333333,0
20-03-2020,38.88888889,33.33333333,0,0,27.77777778
21-03-2020,69.56521739,15.2173913,4.347826087,6.52173913,4.347826087
22-03-2020,55,32.5,0,7.5,5
23-03-2020,47.87878788,42.42424242,1.212121212,4.848484848,3.636363636
24-03-2020,38.86255924,49.28909953,3.317535545,5.213270142,3.317535545
25-03-2020,42.65734266,49.65034965,3.496503497,3.496503497,0.699300699
26-03-2020,41.64037855,39.74763407,1.971608833,3.470031546,13.170347
27-03-2020,39.72257251,37.45271122,4.161412358,4.539722573,14.12358134
28-03-2020,38.16770186,26.58385093,5.838509317,15.52795031,13.88198758
29-03-2020,41.31805158,28.08022923,6.303724928,13.72492837,10.5730659
30-03-2020,41.90371991,28.70167761,6.236323851,11.85266229,11.30561634
31-03-2020,41.40625,30.94618056,7.508680556,11.41493056,8.723958333
01-04-2020,34.99658237,35.47505126,7.792207792,11.89336979,9.84278879
02-04-2020,38.66790009,29.87974098,9.80573543,11.00832562,10.63829787
03-04-2020,43.19578578,25.1975417,8.428446005,10.71115013,12.46707638
04-04-2020,37.92710706,25.85421412,7.061503417,12.98405467,16.17312073
05-04-2020,40.85470085,25.64102564,11.96581197,8.034188034,13.5042735
06-04-2020,33.87681159,25.9057971,13.4057971,13.94927536,12.86231884
07-04-2020,39.93144816,33.93316195,5.912596401,13.28191945,6.940874036
08-04-2020,33.37628866,35.05154639,9.922680412,12.62886598,9.020618557
09-04-2020,28.77492877,33.76068376,10.68376068,17.37891738,9.401709402
10-04-2020,30.94339623,31.32075472,6.540880503,15.34591195,15.8490566
11-04-2020,24.83974359,37.01923077,11.37820513,13.62179487,13.14102564
12-04-2020,26.05932203,33.89830508,17.58474576,9.745762712,12.71186441
13-04-2020,25.45180723,37.04819277,10.39156627,11.29518072,15.81325301
14-04-2020,32.47863248,35.25641026,11.11111111,11.32478632,9.829059829
15-04-2020,17.48251748,54.31235431,9.557109557,8.624708625,10.02331002
16-04-2020,30.23952096,43.26347305,7.48502994,11.67664671,7.335329341
17-04-2020,21.7603912,43.76528117,11.73594132,11.00244499,11.73594132
18-04-2020,25.37313433,39.10447761,11.34328358,11.64179104,12.53731343
19-04-2020,20.93862816,38.26714801,17.68953069,12.63537906,10.46931408
20-04-2020,27.96610169,35.59322034,15.6779661,11.01694915,9.745762712
21-04-2020,24.55621302,45.26627219,11.24260355,13.31360947,5.621301775
22-04-2020,23.31288344,47.73006135,8.957055215,15.95092025,4.049079755
23-04-2020,17.08074534,44.72049689,12.11180124,18.63354037,7.453416149
24-04-2020,19.25042589,39.18228279,19.25042589,14.82112436,7.495741056
25-04-2020,17.36263736,36.04395604,21.53846154,12.30769231,12.74725275
26-04-2020,19.26121372,39.05013193,19.26121372,14.24802111,8.179419525
27-04-2020,15.81395349,37.20930233,28.60465116,10,8.372093023
28-04-2020,17.61904762,40.47619048,19.04761905,13.57142857,9.285714286
29-04-2020,29.65517241,31.37931034,16.20689655,13.79310345,8.965517241
30-04-2020,21.99170124,36.92946058,15.3526971,17.42738589,8.298755187
