date,sentiment_score,Confirmed
01-02-2020,0.010094444,0
02-02-2020,-0.214867857,1
03-02-2020,-0.087545946,1
04-02-2020,-0.039085294,0
05-02-2020,-0.019008696,0
06-02-2020,-0.133064,0
07-02-2020,-0.151223684,0
08-02-2020,-0.03227,0
09-02-2020,0.044267742,0
10-02-2020,-0.09085,0
11-02-2020,-0.186573077,0
12-02-2020,-0.157083871,0
13-02-2020,0.001344,0
14-02-2020,-0.044821429,0
15-02-2020,-0.116588,0
16-02-2020,-0.087621622,0
17-02-2020,-0.281331579,0
18-02-2020,-0.0303,0
19-02-2020,-0.017271429,0
20-02-2020,-0.090947619,0
21-02-2020,-0.066951724,0
22-02-2020,-0.291545238,0
23-02-2020,-0.225620482,0
24-02-2020,-0.048201205,0
25-02-2020,-0.047571429,0
26-02-2020,-0.14741,0
27-02-2020,-0.149086207,0
28-02-2020,-0.078561364,0
29-02-2020,-0.1351,0
01-03-2020,0.011326667,0
02-03-2020,-0.007560976,2
03-03-2020,-0.066526667,1
04-03-2020,-0.229013333,22
05-03-2020,-0.135567742,2
06-03-2020,0.0818375,1
07-03-2020,-0.094334783,3
08-03-2020,-0.033510448,5
09-03-2020,-0.11616242,9
10-03-2020,-0.125277014,15
11-03-2020,-0.041170397,8
12-03-2020,-0.002701111,10
13-03-2020,0.034412132,10
14-03-2020,0.011857738,11
15-03-2020,0.022181102,10
16-03-2020,0.010026324,14
17-03-2020,0.001874451,20
18-03-2020,0.048538375,25
19-03-2020,0.068165206,27
20-03-2020,0.041485795,58
21-03-2020,0.026888008,78
22-03-2020,0.062741092,69
23-03-2020,0.085649552,94
24-03-2020,0.154557907,74
25-03-2020,0.146291414,86
26-03-2020,0.123440002,73
27-03-2020,0.129895334,153
28-03-2020,0.111389275,136
29-03-2020,0.096970529,120
30-03-2020,0.097225836,187
31-03-2020,0.098983309,309
01-04-2020,0.102819694,424
02-04-2020,0.136606865,486
03-04-2020,0.138195276,560
04-04-2020,0.147470395,579
05-04-2020,0.161763104,609
06-04-2020,0.157439685,484
07-04-2020,0.139534852,573
08-04-2020,0.146684139,565
09-04-2020,0.144225197,813
10-04-2020,0.132260093,871
11-04-2020,0.137605102,854
12-04-2020,0.120467993,758
13-04-2020,0.14292359,1243
14-04-2020,0.13762811,1031
15-04-2020,0.124313461,886
16-04-2020,0.137867014,1061
17-04-2020,0.132226532,922
18-04-2020,0.146712988,1371
19-04-2020,0.127952157,1580
20-04-2020,0.120979038,1239
21-04-2020,0.109927758,1537
22-04-2020,0.15217558,1292
23-04-2020,0.149263759,1667
24-04-2020,0.143464778,1408
25-04-2020,0.141134888,1835
26-04-2020,0.155459943,1607
27-04-2020,0.141060074,1568
28-04-2020,0.139584842,1902
29-04-2020,0.127247264,1705
30-04-2020,0.124850721,1801
