Date,Positive,Negative,Neutral
01-02-2020,38.91,36.68,24.41
02-02-2020,32.76,51.11,16.13
03-02-2020,34.82,36.94,28.25
04-02-2020,30.57,43.4,26.03
05-02-2020,32.99,41.19,25.82
06-02-2020,29.72,45.6,24.68
07-02-2020,29.28,46.08,24.64
08-02-2020,28.3,44.1,27.6
09-02-2020,30.52,43.91,25.57
10-02-2020,32.95,41.33,25.72
11-02-2020,33.46,41.47,25.08
12-02-2020,32.37,41.56,26.07
13-02-2020,31.85,40.31,27.84
14-02-2020,32.2,42.33,25.47
15-02-2020,28.72,40.63,30.65
16-02-2020,30.54,41.57,27.89
17-02-2020,32.56,40.91,26.53
18-02-2020,30.92,42.23,26.86
19-02-2020,32.08,41.23,26.69
20-02-2020,30.74,43.6,25.66
21-02-2020,27.46,43.49,29.05
22-02-2020,29.7,40.22,30.07
23-02-2020,30.16,43.46,26.39
24-02-2020,28.58,43.23,28.19
25-02-2020,33.34,39.67,26.98
26-02-2020,32.68,38.91,28.41
27-02-2020,33.42,37.6,28.98
28-02-2020,34.5,38.97,26.53
29-02-2020,31.95,41.61,26.44
01-03-2020,29.12,40.73,30.14
02-03-2020,36.95,35.82,27.23
03-03-2020,38.49,36.48,25.04
04-03-2020,40.17,34.14,25.69
05-03-2020,37.68,35.03,27.29
06-03-2020,36.27,36.79,26.94
07-03-2020,38.02,35.19,26.79
08-03-2020,36.76,36.31,26.93
09-03-2020,37.37,38.22,24.41
10-03-2020,40.3,35.06,24.64
11-03-2020,37.71,34.88,27.41
12-03-2020,40.5,33.54,25.96
13-03-2020,41.13,34.85,24.02
14-03-2020,41.96,34.21,23.83
15-03-2020,43.81,33.15,23.03
16-03-2020,43.75,32,24.25
17-03-2020,44.05,31.41,24.54
18-03-2020,43.65,33.41,22.94
19-03-2020,43.06,34.01,22.93
20-03-2020,45.14,32.17,22.69
21-03-2020,49.42,30.59,19.99
22-03-2020,51.31,28.47,20.22
23-03-2020,46.1,31.06,22.84
24-03-2020,48.12,27.77,24.11
25-03-2020,48.83,28.45,22.73
26-03-2020,47.75,29.95,22.3
27-03-2020,47.75,29.95,22.3
28-03-2020,48.62,29.89,21.49
29-03-2020,46.78,31.19,22.04
30-03-2020,44.84,32.14,23.02
31-03-2020,43.77,33.1,23.13
01-04-2020,43.64,33.14,23.22
02-04-2020,44.41,33.48,22.11
03-04-2020,46.22,30.17,23.61
04-04-2020,46.56,30.31,23.13
05-04-2020,47.45,30.35,22.21
06-04-2020,46.67,30,23.32
07-04-2020,48.6,29.18,22.22
08-04-2020,48.56,28.73,22.71
09-04-2020,48.38,28.83,22.79
10-04-2020,48.01,29.11,22.88
11-04-2020,46.96,28.81,24.24
12-04-2020,47.3,29.51,23.19
13-04-2020,47.72,28.35,23.93
14-04-2020,47.45,28.38,24.17
15-04-2020,45.22,30.72,24.06
16-04-2020,47.28,30.3,22.43
17-04-2020,45.92,30.02,24.06
18-04-2020,47.67,30.1,22.23
19-04-2020,46.6,30.67,22.73
20-04-2020,46.18,30.3,23.52
21-04-2020,45.88,31.46,22.66
22-04-2020,47.96,29.87,22.18
23-04-2020,48.33,29.12,22.55
24-04-2020,49.66,28.44,21.89
25-04-2020,48.37,28.63,23
26-04-2020,49.22,28.04,22.73
27-04-2020,47.2,29.33,23.47
28-04-2020,47.02,30.04,22.93
29-04-2020,47.35,29.29,23.36
30-04-2020,47.86,28.87,23.27
