case_date,confirmed,active,death,recovered,sentiment_date,sentiment_score
30-01-2020,1,1,0,0,01-02-2020,-0.05712
31-01-2020,0,0,0,0,02-02-2020,-0.09714
01-02-2020,0,0,0,0,03-02-2020,-0.08755
02-02-2020,1,1,0,0,04-02-2020,-0.03909
03-02-2020,1,1,0,0,05-02-2020,-0.01901
04-02-2020,0,0,0,0,06-02-2020,-0.13306
05-02-2020,0,0,0,0,07-02-2020,-0.15122
06-02-2020,0,0,0,0,08-02-2020,-0.03227
07-02-2020,0,0,0,0,09-02-2020,0.044268
08-02-2020,0,0,0,0,10-02-2020,-0.09085
09-02-2020,0,0,0,0,11-02-2020,-0.18657
10-02-2020,0,0,0,0,12-02-2020,-0.15708
11-02-2020,0,0,0,0,13-02-2020,0.001344
12-02-2020,0,0,0,0,14-02-2020,-0.04482
13-02-2020,0,-1,0,1,15-02-2020,-0.11659
14-02-2020,0,0,0,0,16-02-2020,-0.08762
15-02-2020,0,0,0,0,17-02-2020,-0.28133
16-02-2020,0,-1,0,1,18-02-2020,-0.0303
17-02-2020,0,0,0,0,19-02-2020,-0.01727
18-02-2020,0,0,0,0,20-02-2020,-0.09095
19-02-2020,0,0,0,0,21-02-2020,-0.06695
20-02-2020,0,-1,0,1,22-02-2020,-0.29155
21-02-2020,0,0,0,0,23-02-2020,-0.22562
22-02-2020,0,0,0,0,24-02-2020,-0.0482
23-02-2020,0,0,0,0,25-02-2020,-0.04757
24-02-2020,0,0,0,0,26-02-2020,-0.14741
25-02-2020,0,0,0,0,27-02-2020,-0.14909
26-02-2020,0,0,0,0,28-02-2020,-0.07856
27-02-2020,0,0,0,0,29-02-2020,-0.1351
28-02-2020,0,0,0,0,01-03-2020,0.011327
29-02-2020,0,0,0,0,02-03-2020,-0.00756
01-03-2020,0,0,0,0,03-03-2020,-0.06653
02-03-2020,2,2,0,0,04-03-2020,-0.22901
03-03-2020,1,1,0,0,05-03-2020,-0.13557
04-03-2020,22,22,0,0,06-03-2020,0.081838
05-03-2020,2,2,0,0,07-03-2020,-0.09433
06-03-2020,1,1,0,0,08-03-2020,-0.03351
07-03-2020,3,3,0,0,09-03-2020,-0.11616
08-03-2020,5,5,0,0,10-03-2020,-0.12528
09-03-2020,9,9,0,0,11-03-2020,-0.04117
10-03-2020,15,14,0,1,12-03-2020,-0.0027
11-03-2020,8,8,0,0,13-03-2020,0.034412
12-03-2020,10,9,1,0,14-03-2020,0.011858
13-03-2020,10,4,0,6,15-03-2020,0.022181
14-03-2020,11,10,1,0,16-03-2020,0.010026
15-03-2020,10,7,0,3,17-03-2020,0.001874
16-03-2020,14,13,0,1,18-03-2020,0.048538
17-03-2020,20,18,1,1,19-03-2020,0.068165
18-03-2020,25,25,0,0,20-03-2020,0.041486
19-03-2020,27,21,1,5,21-03-2020,0.026888
20-03-2020,58,55,0,3,22-03-2020,0.062741
21-03-2020,78,78,0,0,23-03-2020,0.08565
22-03-2020,69,66,3,0,24-03-2020,0.154558
23-03-2020,94,90,2,2,25-03-2020,0.146291
24-03-2020,74,58,1,15,26-03-2020,0.12344
25-03-2020,86,82,1,3,27-03-2020,0.129895
26-03-2020,73,61,5,7,28-03-2020,0.111389
27-03-2020,153,125,3,25,29-03-2020,0.096971
28-03-2020,136,121,5,10,30-03-2020,0.097226
29-03-2020,120,100,3,17,31-03-2020,0.098983
30-03-2020,187,138,14,35,01-04-2020,0.10282
31-03-2020,309,290,6,13,02-04-2020,0.136607
01-04-2020,424,399,6,19,03-04-2020,0.138195
02-04-2020,486,448,16,22,04-04-2020,0.14747
03-04-2020,560,507,14,39,05-04-2020,0.161763
04-04-2020,579,510,13,56,06-04-2020,0.15744
05-04-2020,609,544,22,43,07-04-2020,0.139535
06-04-2020,484,403,16,65,08-04-2020,0.146684
07-04-2020,573,471,27,75,09-04-2020,0.144225
08-04-2020,565,449,20,96,10-04-2020,0.13226
09-04-2020,813,697,46,70,11-04-2020,0.137605
10-04-2020,871,698,22,151,12-04-2020,0.120468
11-04-2020,854,627,41,186,13-04-2020,0.142924
12-04-2020,758,602,42,114,14-04-2020,0.137628
13-04-2020,1243,1104,27,112,15-04-2020,0.124313
14-04-2020,1031,827,37,167,16-04-2020,0.137867
15-04-2020,886,715,27,144,17-04-2020,0.132227
16-04-2020,1061,777,26,258,18-04-2020,0.146713
17-04-2020,922,611,38,273,19-04-2020,0.127952
18-04-2020,1371,910,35,426,20-04-2020,0.120979
19-04-2020,1580,1154,38,388,21-04-2020,0.109928
20-04-2020,1239,787,33,419,22-04-2020,0.152176
21-04-2020,1537,781,53,703,23-04-2020,0.149264
22-04-2020,1292,862,36,394,24-04-2020,0.143465
23-04-2020,1667,985,40,642,25-04-2020,0.141135
24-04-2020,1408,865,59,484,26-04-2020,0.15546
25-04-2020,1835,1349,44,442,27-04-2020,0.14106
26-04-2020,1607,966,56,585,28-04-2020,0.139585
27-04-2020,1568,930,58,580,29-04-2020,0.127247
28-04-2020,1902,1197,69,636,30-04-2020,0.124851
29-04-2020,1705,944,71,690,01-05-2020,0.132995
30-04-2020,1801,1096,75,630,02-05-2020,0.12413
01-05-2020,2396,1357,77,962,03-05-2020,0.12413
02-05-2020,2564,1641,92,831,04-05-2020,0.12413
03-05-2020,2952,1901,140,911,05-05-2020,0.12413
04-05-2020,3656,2471,103,1082,06-05-2020,0.12413
05-05-2020,2971,1548,128,1295,07-05-2020,0.12413
06-05-2020,3602,2350,91,1161,08-05-2020,0.12413
07-05-2020,3344,1765,104,1475,09-05-2020,0.12413
08-05-2020,3339,2131,97,1111,10-05-2020,0.12413
09-05-2020,3175,1646,115,1414,11-05-2020,0.12413
10-05-2020,4311,2530,112,1669,12-05-2020,0.12413
11-05-2020,3592,1932,81,1579,13-05-2020,0.12413
12-05-2020,3562,1537,120,1905,14-05-2020,0.12413
13-05-2020,3726,1626,137,1963,15-05-2020,0.12413
14-05-2020,3991,2300,97,1594,16-05-2020,0.12413
15-05-2020,3808,1470,104,2234,17-05-2020,0.12413
16-05-2020,4794,662,120,4012,18-05-2020,0.152329
17-05-2020,5049,2359,152,2538,19-05-2020,0.12413
18-05-2020,4628,2015,131,2482,20-05-2020,0.12413
19-05-2020,6154,2976,146,3032,21-05-2020,0.12413
20-05-2020,5720,2473,134,3113,22-05-2020,0.12413
21-05-2020,6023,2744,148,3131,23-05-2020,0.12413
22-05-2020,6536,3114,142,3280,24-05-2020,0.12413
23-05-2020,6667,3949,142,2576,25-05-2020,0.12413
24-05-2020,7111,3670,156,3285,26-05-2020,0.12413
25-05-2020,6414,3252,150,3012,27-05-2020,0.12413
26-05-2020,5907,2149,173,3585,28-05-2020,0.12413
27-05-2020,7246,3624,188,3434,29-05-2020,0.12413
28-05-2020,7254,3907,176,3171,30-05-2020,0.12413
29-05-2020,8138,-3866,269,11735,31-05-2020,0.044474
30-05-2020,8364,3856,205,4303,01-06-2020,0.12413
31-05-2020,8789,3639,222,4928,02-06-2020,0.12413
01-06-2020,7723,3640,201,3882,03-06-2020,0.12413
02-06-2020,8812,4059,222,4531,04-06-2020,0.12413
03-06-2020,9689,5641,259,3789,05-06-2020,0.12413
04-06-2020,9847,5183,274,4390,06-06-2020,0.12413
05-06-2020,9472,4416,286,4770,07-06-2020,0.12413
06-06-2020,10408,4678,297,5433,08-06-2020,0.12413
07-06-2020,10882,5430,261,5191,09-06-2020,0.12413
08-06-2020,8536,3094,271,5171,10-06-2020,0.12413
09-06-2020,9981,4075,272,5634,11-06-2020,0.12413
10-06-2020,11156,4523,358,6275,12-06-2020,0.12413
11-06-2020,11135,4697,394,6044,13-06-2020,0.12413
12-06-2020,11306,3655,388,7263,14-06-2020,0.12413
13-06-2020,12039,3638,309,8092,15-06-2020,0.12413
14-06-2020,11405,3723,324,7358,16-06-2020,0.12413
15-06-2020,10032,-1003,396,10639,17-06-2020,0.044474
16-06-2020,11086,1856,2004,7226,18-06-2020,0.12413
17-06-2020,13108,5877,341,6890,19-06-2020,0.12413
18-06-2020,13829,2745,343,10741,20-06-2020,0.12413
19-06-2020,14740,5347,364,9029,21-06-2020,0.12413
20-06-2020,15918,1636,308,13974,22-06-2020,0.12413
21-06-2020,15151,5650,426,9075,23-06-2020,0.12413
22-06-2020,13560,2369,312,10879,24-06-2020,0.12413
23-06-2020,15656,4726,468,10462,25-06-2020,0.12413
24-06-2020,16868,3355,424,13089,26-06-2020,0.12413
25-06-2020,18205,3821,401,13983,27-06-2020,0.12413
26-06-2020,18255,7628,381,10246,28-06-2020,0.12413
27-06-2020,20142,5499,414,14229,29-06-2020,0.12413
28-06-2020,19610,7595,384,11631,30-06-2020,0.12413
29-06-2020,18339,4425,417,13497,01-07-2020,0.12413
30-06-2020,18256,5185,506,12565,02-07-2020,0.12413
